annotator,winner,loser,time
5045101efb9977ce,30a297f128baa987,51f465fe789ceffb,2015-09-20 15:31:15.662882
efc06b69407e7598,21107088ee6c1f73,bf7471ad5f124cd4,2015-09-20 15:31:16.749285
1c6eddf21a4a6be0,51cad15febee386a,390fbd0788f68659,2015-09-20 15:31:22.813785
476c030a96fa8439,0eabb6f9e432f01e,2fa26e875c7ed590,2015-09-20 15:31:30.251108
5fc824b1d31cc45a,200cb75115f91643,f2c5c5af295a0c6c,2015-09-20 15:31:33.505973
7427de5ab19c2343,1815e7d21ae583de,c63d36204ede0d5c,2015-09-20 15:31:37.147936
d6626cc9aac554b0,0eabb6f9e432f01e,c63d36204ede0d5c,2015-09-20 15:31:41.599355
ee9aa2c6f5f3d255,3377fffa7fffc21a,dc9bba8ad4691996,2015-09-20 15:31:48.666762
0d99d9a5d48dc375,ba843f464a043570,1af947192561366a,2015-09-20 15:32:01.076153
fe937615ff7b0c27,0a1585de9ecca0bc,f2c5c5af295a0c6c,2015-09-20 15:32:03.32609
eecf8e4fe419bb39,f670669770bff11f,c63d36204ede0d5c,2015-09-20 15:32:10.622284
2847995f880067d3,edf22f5457bc3782,dc9bba8ad4691996,2015-09-20 15:32:10.781399
7e85e6d16c1358bb,88e6c4e73ebdc053,03cb4ec1d468d591,2015-09-20 15:32:18.64971
951d9f9c5bb15b2a,1b7b37141490f8c0,bb0d351c913f47c1,2015-09-20 15:32:28.03386
1c6eddf21a4a6be0,47bf8219e2ef1ebf,51cad15febee386a,2015-09-20 15:32:31.632249
5b952f4b5bdd5a1c,f2c5c5af295a0c6c,c63d36204ede0d5c,2015-09-20 15:32:34.307244
0f7421b7748f474c,bca1cf59e67ee7bb,1af947192561366a,2015-09-20 15:32:39.211828
e6d601502659691e,62a9792d111c5f01,c63d36204ede0d5c,2015-09-20 15:32:46.032753
194c68af17898f0e,ba843f464a043570,1af947192561366a,2015-09-20 15:32:46.464162
06ab5c83c0282a3a,e45b1c3ec372d088,51f465fe789ceffb,2015-09-20 15:32:47.566923
341ff4af54280c7c,f2c5c5af295a0c6c,94d60350a7e1b59a,2015-09-20 15:32:52.469756
c38aac331fd435f6,18d53bcee4049609,45e024c81ca08e84,2015-09-20 15:32:53.952523
b811034b6daaa0a8,f2c5c5af295a0c6c,74028fda5ee6eab9,2015-09-20 15:32:56.964128
90c5462ca925cc62,cc04214dfd98aedc,16817cd9a8d557ef,2015-09-20 15:33:00.072058
3bec00ceec2ba473,c22b9bda505b5749,0f1aa4a556467be8,2015-09-20 15:33:01.008819
a8a1112be5a953a1,5cd5e5fd18653b7a,49e9890bd7cd8b98,2015-09-20 15:33:01.610758
9b8e6aaa964cf9c6,1b7b37141490f8c0,ba843f464a043570,2015-09-20 15:33:03.423569
0093c1a9733e3804,74028fda5ee6eab9,e33726823180a40d,2015-09-20 15:33:17.851166
6bed004aecc52dcd,bdf35bb493dc82db,9e6d22878e91d9aa,2015-09-20 15:33:20.025117
47740adacb600d62,cceca15bb4e5299a,059fb328bd9a7106,2015-09-20 15:33:20.720239
57818d4e8d931535,cceca15bb4e5299a,21107088ee6c1f73,2015-09-20 15:33:23.332459
04a758c535e83066,88e6c4e73ebdc053,96bddd4a7db353d1,2015-09-20 15:33:23.826308
f293e02dbb78f513,f2c5c5af295a0c6c,6560f6423793040a,2015-09-20 15:33:24.033176
4d2e197f9132977e,21107088ee6c1f73,46a4feb9a4336113,2015-09-20 15:33:26.466224
c3397ec09f1d54a0,a51e406f8f84ab2e,898e71d965aa47e6,2015-09-20 15:33:28.023221
00bb4bc73a29dc3e,cceca15bb4e5299a,39d3999e618f7979,2015-09-20 15:33:28.730009
929e602b19f17b04,3176c150c8924f02,37f8db27b26f5549,2015-09-20 15:33:35.116491
41b8a2c90793f4ef,0f1aa4a556467be8,89db5036fdd264f9,2015-09-20 15:33:38.335831
7b6c4c39ed0ec09b,b98e6084a0d45441,c63d36204ede0d5c,2015-09-20 15:33:40.837764
2039e722f0b134e2,f9ddccf65b7012aa,33b2fa42dabd14d5,2015-09-20 15:33:41.223621
c9703af7995bee70,0f1aa4a556467be8,03cb4ec1d468d591,2015-09-20 15:33:46.418056
6aa00b71b4e5cada,774a6c07611edaa8,b1e728abf9fb8bba,2015-09-20 15:33:49.940751
123ffea6b56045a7,30a297f128baa987,ade653adda91b17f,2015-09-20 15:33:59.937688
29563bf3326794c3,26d4cb38ba02820a,456a1a87154a2c55,2015-09-20 15:34:02.205123
154b3d7867ee99d9,62a9792d111c5f01,456a1a87154a2c55,2015-09-20 15:34:13.834935
476c030a96fa8439,264f9f031e27d188,2db4d6dcbe31c912,2015-09-20 15:35:00.740036
915b3ad3c505b578,58e52f2cf572082e,b1e728abf9fb8bba,2015-09-20 15:34:03.067392
202437035cc015e0,37f8db27b26f5549,96350fec3bdfb2cf,2015-09-20 15:34:29.82296
85fce6e48110d89f,e7703dc07df9d96c,37836a40aecc7b80,2015-09-20 15:34:39.958048
48dd409d18acaf5f,e33726823180a40d,3377fffa7fffc21a,2015-09-20 15:34:03.495314
e5f961edefdb8028,30a297f128baa987,dc9bba8ad4691996,2015-09-20 15:34:05.746917
92caadc8b2e1d6fe,88e6c4e73ebdc053,30a297f128baa987,2015-09-20 15:34:06.655999
4d134b1cb7371b4d,df0b574e2a891076,1af947192561366a,2015-09-20 15:34:18.62925
7b73a78c34ae3f52,fe9b6b37b42d3efd,8e522755c75d0bc4,2015-09-20 15:34:31.224651
0d95a36ef84d6a73,6998394353477dab,21107088ee6c1f73,2015-09-20 15:34:06.847343
476c030a96fa8439,2fa26e875c7ed590,264f9f031e27d188,2015-09-20 15:34:07.727904
b6e89c05f85245c9,5cef52b783188c2f,03cb4ec1d468d591,2015-09-20 15:34:17.34971
5045101efb9977ce,30a297f128baa987,49e9890bd7cd8b98,2015-09-20 15:34:22.493456
7945d319c04f9811,421d0177cb7900d3,b7b333dc171742e1,2015-09-20 15:34:38.075331
